,created_at,id,text
30,2022-03-31T11:10:37.000Z,1509488329875931138,"Today I purchased a pair of tickets to an upcoming Chris Rock comedy show this summer to show my support. It was reported he got 2 back to back standing ovations in Boston tonight and was teary-eyed. We got you 
@chrisrock
 #Oscars2022   #SlapChrisRock"
31,2022-03-31T11:10:30.000Z,1509488299471159299,"@dillondanis Good point! Like the potential of WW3 had nothing to do with Covid coverage declining, @Benaskren is another @joerogan clone, trying to get the right wing, frat, d0uche demo #Oscars2022"
32,2022-03-31T11:09:44.000Z,1509488108005474304,"@TheDailyShow
 Why is the daily show not talking about the Chris Rock Incident?
@oscars2022 #Oscars2022 #Oscars #ChrisRock #chrisrockwillsmith"
33,2022-03-31T11:09:22.000Z,1509488013855715331,"Shows not to watch anymore, the Oscars because they are thugs not royalty and anything with Will or Jada #WillSmith #Oscars2022 #JadaPinkettSmith"
34,2022-03-31T11:08:41.000Z,1509487842598461441,"There are 100 people in a room, 99 of them wont slap you, but 1 Will #Oscars #Oscars2022 #WillSmith #willsmithslap"
35,2022-03-31T11:07:35.000Z,1509487567980351494,"@TheAcademy And last but not least, you say you condemn such actions while you're still part of a platform that pushes agendas on society and still promotes violence. Go figure. #Oscars2022 #OscarsSoWhite #oscarssuck"
36,2022-03-31T11:07:21.000Z,1509487508542873606,"@MMAJunkie What a scumbag, always got something negative to say about black people, but crickets on @ChaelSonnen assaulting people including a woman and Chael’s wife having unknown injuries #Oscars2022"
37,2022-03-31T11:07:06.000Z,1509487444659474432,"I’m not a racist
Am a realist 
There’s an Aggressive/Violence trait in the Gene Of a Negro

Will Smith just further proved it

Do you think Arnold Schwarzenegger with all his muscles or JackieChan with all his KungFu tricks will pull a Will Smith stunt on Chris rock?
#Oscars2022"
38,2022-03-31T11:06:38.000Z,1509487329366487042,@TheDailyShow Why is the daily show not talking about the Chris Rock Incident @oscars2022.
39,2022-03-31T11:04:29.000Z,1509486785713295368,@MirrorCeleb ...but if he had would #WillSmith have slapped him? #RickyGervais #JadaPinkettSmith #ChrisRock #Oscars #Oscars2022 #Alopecia
40,2022-03-31T11:04:23.000Z,1509486761843507203,"@TheAcademy Taking away the award from #willsmith still won't fix what you allowed to happen or what he did, period. You awarded him with the best actor accolade based on his performance, not on a slap. You deal with such incidents differently, with the proper channels. #Oscars2022 #Oscars"
41,2022-03-31T11:03:31.000Z,1509486544834510852,"@Mike_mack15 @David_24_SSG @MMAJunkie His opinion means 💩 , that’s why he’s constantly apologizing for it #Oscars2022"
42,2022-03-31T11:03:13.000Z,1509486467491500037,"All ELITE PRIVATE ASSASIN MILITARY GROUPS OUT THERE..

$6 BILLION IN A PRIVATE SWITZERLAND  BANK ACCOUNT  UNDER YOUR NAME INSTANTLY IF U TAKE OUT PUTIN .
CONTACT US - USA OR UK GOVT #Russia #Oscars2022  
@KremlinRussia_E  @mfa_russia @mod_russia #Ukraine #WillSmith #Russian"
43,2022-03-31T11:02:28.000Z,1509486280756936707,@SkyNews No he wasn’t. How is that important? #Oscars2022 #ViolenceIsNeverTheAnswer #ProtectBlackWomen
0,2022-03-31T12:54:24.000Z,1509514449119444992,"@davidalangrier 😒They can keep that episode. We don’t need to see it. Will was very wrong, but he earned his award. He shouldn’t have been able to give an acceptance speech but taking it back is very much the wrong answer! #chrisrockwillsmith #Oscars #Oscars2022 #WillAndChris #WillSmithAssault"
1,2022-03-31T12:51:34.000Z,1509513735051825154,"If not for will smith, I wouldnt know Pfizer had a phase 3 trial drug coming to theoretically help treat alopecia. #bitcoin #litecoin #Oscars #Oscars2022 #Pfizer"
2,2022-03-31T12:48:58.000Z,1509513082799861765,The academy is deciding to have some kind of discipline to the one who punched but did apologize but not the one who verbally and publicly humiliated the medical condition of the person with no apology.#assault #Oscars2022
3,2022-03-31T12:48:43.000Z,1509513019373637633,@jadapsmith it's OK to laf @chrisrock getin smacked by @willsmith wen clearly he also lafd @d joke. I think @willsmith shd b slappin hmsef nd don't make dis abt dfndin ur wife bcus u also lafd @d joke. #Oscars2022 #IStandWithChrisRock  #teamChrisRock #slap #ChrisRock
4,2022-03-31T12:47:22.000Z,1509512678221533186,@JoshDenny The wacky world we live in! #WillSmith #Oscars #Oscars2022
5,2022-03-31T12:46:51.000Z,1509512549213089794,"Can we just appreciate the camera man at the #Oscars2022? Not only did he keep the camera on the slap, but he/she got the close up of will smith yelling at Chris from his seat. I’m more impressed with that 🤣"
6,2022-03-31T12:45:43.000Z,1509512264671543296,"Is it me or should @chrisrock also be apologising? I don't condone violence in any form but to use Jada and this situation for his next bit of stage material is shocking, to lose any part of your appearance is distressing, jokes like that are in bad taste! #Oscars2022 #itsnotok"
7,2022-03-31T12:43:19.000Z,1509511658506436614,Can’t wait for GI Jane 2… 😂😂😂😂😂😂#comedy supposed to have some sick women in it or so thing. #WillSmithAssault #Oscars2022 #ChrisRock #chrisrockwillsmith #lol
8,2022-03-31T12:41:17.000Z,1509511146730049538,"@theninaparker u gave Will Smith a pass for his VIOLENT behavior at the #Oscars2022 because ""he addressed it"" and that was a ""stand-up thing to do"" in your opinion so let me ask you... What if Wanda Sykes had made this joke? or Regina King? or Amy Schumer? U wld have been ok too?"
